Dummy	0	Empty
IDBTN_LAUNCHER_INSTALL	0x1000	Install
IDBTN_LAUNCHER_ANALYZE	0x1001	Analyze Your Computer
IDBTN_LAUNCHER_HELP	0x1002	Help
IDBTN_LAUNCHER_OPTIONS	0x1003	Options
IDBTN_LAUNCHER_EXIT	0x1004	Exit
IDBTN_LAUNCHER_REGISTER	0x1005	Register Online
IDBTN_LAUNCHER_WWW	0x1006	Visit www.lucasarts.com
IDBTN_LAUNCHER_UNINSTALL	0x1007	Uninstall
IDBTN_LAUNCHER_BACK	0x1009	Go Back
IDBTN_LAUNCHER_AUDIO	0x100a	Sound Options
IDBTN_LAUNCHER_VIDEO	0x100b	Display Options
IDBTN_LAUNCHER_SUPPORT	0x100c	LucasArts Technical Support
IDBTN_LAUNCHER_CANCEL	0x100e	Cancel
IDBTN_LAUNCHER_RESUME_PLAY	0x1010	Resume Play
IDBTN_LAUNCHER_OK	0x1011	Ok
IDBTN_LAUNCHER_START	0x1012	Start
IDBTN_LAUNCHER_REINSTALL_DIRECTX	0x1013	Reinstall DirectX
IDBTN_LAUNCHER_VIEW_README	0x1014	View Readme
IDBTN_LAUNCHER_VIEW_TSG	0x1015	View Troubleshooting Guide
IDBTN_LAUNCHER_VIEW_LICENSE	0x1016	View License Agreement
IDBTN_LAUNCHER_README_TSG	0x1017	Readme && Troubleshooting Guide
IDBTN_LAUNCHER_DXDIAG	0x1018	DirectX Diagnostics
IDBTN_LAUNCHER_ADDITIONAL	0x1019	Additional Options
IDBAR_LAUNCHER_LAUNCH	0x2000	Launch
IDBAR_LAUNCHER_INSTALL	0x2001	Install
IDBAR_LAUNCHER_OPTIONS	0x2002	Options
IDBAR_LAUNCHER_ADVANCED	0x2003	Advanced Options
IDBAR_LAUNCHER_UNINSTALL	0x2004	Uninstall
IDBAR_LAUNCHER_README_TSG	0x2005	Readme & Troubleshooting Guide
IDBAR_LAUNCHER_HELP	0x2006	Help
IDTXT_LAUNCHER_UNINSTALL_WARNING	0x3000	WARNING: Clicking Uninstall may delete some game files without further prompting.
IDCHK_LAUNCHER_KEEP_GAMES	0x4000	Keep Savegames?
IDBTN_LAUNCHER_ENGLISH	0x4001	English
IDBTN_LAUNCHER_FRENCH	0x4002	Français
IDBTN_LAUNCHER_GERMAN	0x4003	Deutsch
IDBTN_LAUNCHER_MULTI_EXIT	0x4004	Exit/Quitter/Beenden
IDBTN_LAUNCHER_SPANISH	0x4005	Español
IDMSG_REGISTER_PRODUCT	0x5000	Would you like to electronically register\n$[ProductName] now?
IDMSG_INSERT_A_GAME_CD	0x5001	Please insert one of the $[ProductName] CDs into your CD-ROM drive to proceed.
IDMSG_INSERT_THE_GAME_CD	0x5002	Please insert CD 1.
IDMSG_INSERT_GAME_CD_INSTALL	0x5004	Please insert the first CD into your CD-ROM drive to install $[ProductName].
IDMSG_DELETE_SAVE_GAMES	0x5005	Do you really want to delete all saved games?
IDMSG_REINSTALL_DIRECTX	0x5006	This game needs to update your DirectX installation\nbefore you can proceed!\n\nDo you want to perform the update now?
IDMSG_CORRUPT_INSTALLATION	0x5007	A required file is missing or corrupted!\n\nPlease reinstall $[ProductName] to fix this problem.
IDMSG_PHYSICAL_MEMORY	0x5008	$[ProductName] requires more physical memory to run properly!\nPlease consult the Troubleshooting Guide for further information.\n\nDo you want to proceed anyway?
IDMSG_PAGE_FILE	0x5009	$[ProductName] may require more virtual memory to run properly!\nPlease consult the Troubleshooting Guide for further information.\n\nDo you want to proceed anyway?
IDMSG_DIRECTX_WARNING	0x5010	Please consult the Troubleshooting Guide for more information on DirectX compatibility issues.
IDMSG_REMOVE_GAME_DATA	0x5011	Do you want to keep all saved games and configuration files?
IDMSG_EXTERNAL_DIRECTX	0x5012	DirectX $[DirectXVersion] or better needs to be installed before this option will work.\nYou can download these DirectX drivers through the LucasArts Web Site at\n$[DirectXUrl]
IDMSG_NO_SOUNDCARD	0x5013	A sound card was not detected in your system. Please choose yes to continue without a sound card or no to exit.
IDMSG_DOWNLOAD_DIRECTX	0x5014	$[ProductName] requires DirectX 8.0a \nwith Windows 95. DirectX 8.1 or higher is required for more recent \noperating systems. You can download and install the appropriate \nversion of DirectX from: \nhttp://support.lucasarts.com/patches/dx.htm
IDMSG_NT_WARNING	0x5015	Your operating system is Windows NT 4.0. This game will not run.
IDMSG_INSERT_GAME_CD_INSTALL_MULTI	0x5016	Please insert the first CD into your CD-ROM drive to install $[ProductName].\n\nPour installer $[ProductName], insérez le CD1 dans votre lecteur de CD-Rom.\n\nBitte legen Sie die erste CD in Ihr CD-ROM-Laufwerk, um $[ProductName] zu installieren.\n\nInserta el primer CD en la unidad de CD-ROM para instalar $[ProductName].
IDMSG_ASK_INSTALL_OPTIONS	0x7012	Do you want to uninstall $[ProductName]?
IDMSG_DSETUP_MB_TITLE	0x7800	DirectX Setup
IDMSG_DSETUPERR_SUCCESS	0x7801	Congratulations! DirectX is now properly installed on your system.
IDMSG_DSETUPERR_BADSOURCESIZE	0x7802	A file's size could not be verified or was incorrect.
IDMSG_DSETUPERR_BADSOURCETIME	0x7803	A file's date and time could not be verified or were incorrect.
IDMSG_DSETUPERR_BADWINDOWSVERSION	0x7804	DirectX does not support the Windows version on the system.
IDMSG_DSETUPERR_CANTFINDDIR	0x7805	The setup program could not find the working directory.
IDMSG_DSETUPERR_CANTFINDINF	0x7806	A required .inf file could not be found.
IDMSG_DSETUPERR_INTERNAL	0x7807	An internal error occurred.
IDMSG_DSETUPERR_NEWERVERSION	0x7808	A later version of DirectX is already installed on your system.\n\nAn update is not required.
IDMSG_DSETUPERR_NOCOPY	0x7809	A file's version could not be verified or was incorrect.
IDMSG_DSETUPERR_NOTPREINSTALLEDONNT	0x780A	The version of Windows NT on the system does not contain the current version of DirectX. An older version of DirectX may be present, or DirectX may be absent altogether.
IDMSG_DSETUPERR_OUTOFDISKSPACE	0x780B	The setup program ran out of disk space during installation.
IDMSG_DSETUPERR_SOURCEFILENOTFOUND	0x780C	One of the required source files could not be found.
IDMSG_DSETUPERR_UNKNOWNOS	0x780D	The operating system on your system is not currently supported.
IDMSG_DSETUPERR_USERHITCANCEL	0x780E	The Cancel button was pressed before DirectX was fully installed.
IDMSG_DSETUPERR_ERROR	0x7880	A problem occurred during the installation of DirectX:
IDMSG_DSETUPERR_TSG	0x7881	Please consult the Troubleshooting Guide for more information.
